Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
approximated_0045af0e-5c68-4d7e-b53b-6d2cc43cce20_opaxlevel3.owl_functional.owl,11471513,7291628,18763141
approximated_427c5805-6c00-4123-951b-82bb4f7f00a4_Caesium.rdf_functional.owl,18695461,4120444,22815905
approximated_eb2f8a9d-c645-466f-9f92-2998f1b73fbb_salo.owl_functional.owl,14030200,17409472,31439672
immdis.immune-disorder-ontology.1.owl.xml_functional.owl,37152342,80502640,117654982
approximated_3a720fee-fc9d-49b3-a59d-1972aa6d1100_Bolt_cutter.ttl_functional.owl,12091467,3984187,16075654
approximated_496795fa-3ed1-4544-b940-cf8f338c4fbb_Steel_wool.ttl_functional.owl,16083433,3745827,19829260
approximated_a8aa88ff-2631-42b0-ac47-4804b01b57d9_Bus.ttl_functional.owl,10961043,3685783,14646826
approximated_6d2b6ef6-402f-4f26-ad3d-1003b0cfa233_staxontbox.owl_functional.owl,1822821674,3479158234,5301979908
f4dd079c-0b5b-4254-bcc2-c055bd008098_classified.owl_functional.owl,145039159,374621608,519660767
approximated_8ebd7e72-5d7f-4041-8d7f-f5d44f671d18_esc.owl_functional.owl,48339994,14210721,62550715
approximated_80d3045e-e709-447f-8a60-64f953ed6718_disk_drive.ttl_functional.owl,8688746,3720901,12409647
approximated_48431d82-6ace-492f-bf5a-0cc0be753a9c_Asphalt.rdf_functional.owl,11303019,3839523,15142542
approximated_17fe5dd2-bbc3-4668-907f-9b43549deda4_quantity_functional.owl,16941936,18200452,35142388
approximated_2c5fa5c5-067a-4a52-b9a0-aab4378f18fe_nson_Valve.rdf_functional.owl,16593192,3825599,20418791
015f8405-f234-4e27-a9d3-0bf659b9e785_mpath.owl_functional.owl,21572511,44948325,66520836
approximated_e9374aaa-bcc8-471d-bab1-a28dc48b94fa_PaulFisher.rdf_functional.owl,15790611,3076425,18867036
00139.owl_functional.owl,20209891,5463343,25673234
approximated_74fedc71-8310-487c-9bf1-0e9e08355144_ura_cheese.ttl_functional.owl,14302334,3676074,17978408
approximated_aa5158a7-9b23-4a0d-a71c-a87b357bfed5_nedprotege.owl_functional.owl,29376155,45999028,75375183
58cdafe1-027c-48b9-892f-f4910d27d31e_Country.owl_functional.owl,16451803,1250863,17702666
approximated_0f1d6b38-3d37-4989-bd56-913674f8cf6c_Royce_WR21.rdf_functional.owl,17564277,4614387,22178664
approximated_ido.infectious-disease-ontology.7.owl.xml_functional.owl,22995257,32859110,55854367
approximated_3e2271f3-8f9a-4f9c-b30f-42627781bc1a_relational.owl_functional.owl,14442257,6617198,21059455
56dfb985-4e2b-43fa-b94e-41c4c1d096a7_Criminal.owl_functional.owl,14522106,2244299,16766405
6db72b64-5e51-4f54-b197-c70294d3f9c9_onInferred.owl_functional.owl,13640529,5350795,18991324
a0512604-71c0-47a6-a9e1-7de2d21505dd_lanogaster.owl_functional.owl,233492605,440768458,674261063
6ab826d5-9d64-4df3-99f5-53ab756d148e_egorieAlchemie_functional.owl,11481676,1064896,12546572
approximated_a1096c57-096c-4dac-bef8-10ce4babb27e_turkish.owl_functional.owl,16678014,5729723,22407737
approximated_f252ccbd-f4b4-44e0-8b46-7a106deca8f8_Discipline.owl_functional.owl,71985241,149949087,221934328
approximated_a1a8b6dc-705b-495d-b755-2e1a93e0bdff_FN1.54.owl_functional.owl,20243836,8626059,28869895
approximated_00527.owl_functional.owl,24272516,26549158,50821674
approximated_8b14b3ee-df2b-430a-83a6-fd519475ceda_Sauce.rdf_functional.owl,14112867,4136642,18249509
approximated_4f1d6514-6a6d-4109-897e-9c316fd558a2_eestimulos.owl_functional.owl,13901279,6190290,20091569
737808a4-15b1-46af-ad5e-3d7e721f8055_tabstract.owl2_functional.owl,81213327,126837126,208050453
approximated_77e8eacb-7ae9-4d39-8bd2-88ff1d7d5e06_tric_motor.ttl_functional.owl,17849864,3748922,21598786
approximated_291cd757-f2cd-4551-b169-247b9372572c_Almond_meal.ttl_functional.owl,10960037,3666182,14626219
approximated_0030107c-7315-4a26-a530-2346f0ced0b7__gathering.owl_functional.owl,17539038,5139054,22678092
approximated_cb95a779-0d27-4bc4-bfe0-4b8e699eb988_iffusivity.owl_functional.owl,137717171,241553914,379271085
approximated_716754cb-7c5f-4ff9-b05e-358bc24d8522_Zilog_Z80.rdf_functional.owl,22281383,5140673,27422056
059be0e8-6a11-4a6f-9e21-52b393d60feb_a_ontology.obo_functional.owl,11924420,10040906,21965326
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-constant-classes-relation-axioms-value-nominals.ofn_functional.owl,368680373,906936767,1275617140
approximated_1a281549-2a09-4bc9-8de6-7a899efe7b32_ECO.owl_functional.owl,19498323,17445646,36943969
